累计确诊,累计治愈,累计死亡,疑似,时间,地点
9,0,0,0,2020/01/28,吉林
37,0,1,87,2020/01/28,黑龙江
80,4,1,167,2020/01/28,上海
99,1,0,0,2020/01/28,江苏
296,3,0,0,2020/01/28,浙江
152,0,0,42,2020/01/28,安徽
80,0,0,67,2020/01/28,福建
109,3,0,0,2020/01/28,江西
121,0,0,55,2020/01/28,山东
206,1,2,78,2020/01/28,河南
3554,80,125,0,2020/01/28,湖北
221,0,0,0,2020/01/28,湖南
241,5,0,0,2020/01/28,广东
58,2,0,0,2020/01/28,广西
43,0,1,0,2020/01/28,海南
147,0,0,0,2020/01/28,重庆
108,0,0,0,2020/01/28,四川
9,1,0,3,2020/01/28,贵州
51,0,0,163,2020/01/28,云南
0,0,0,1,2020/01/28,西藏
56,0,0,0,2020/01/28,陕西
24,0,0,0,2020/01/28,甘肃
6,0,0,0,2020/01/28,青海
12,0,0,2,2020/01/28,宁夏
13,0,0,0,2020/01/28,新疆
8,0,0,0,2020/01/28,台湾
8,0,0,0,2020/01/28,香港
7,0,0,0,2020/01/28,澳门
114,4,1,0,2020/01/29,北京
27,0,0,0,2020/01/29,天津
65,0,1,68,2020/01/29,河北
35,1,0,0,2020/01/29,山西
18,0,0,1,2020/01/29,内蒙古
41,1,0,0,2020/01/29,辽宁
14,0,0,10,2020/01/29,吉林
43,0,1,105,2020/01/29,黑龙江
101,5,1,180,2020/01/29,上海
129,1,0,0,2020/01/29,江苏
428,4,0,0,2020/01/29,浙江
200,2,0,45,2020/01/29,安徽
101,0,0,111,2020/01/29,福建
162,3,0,0,2020/01/29,江西
145,1,0,79,2020/01/29,山东
206,2,2,29,2020/01/29,河南
4586,90,162,0,2020/01/29,湖北
277,0,0,0,2020/01/29,湖南
311,6,0,0,2020/01/29,广东
78,2,0,0,2020/01/29,广西
46,1,1,0,2020/01/29,海南
165,1,0,0,2020/01/29,重庆
142,1,1,0,2020/01/29,四川
12,1,0,6,2020/01/29,贵州
70,0,0,191,2020/01/29,云南
1,0,0,0,2020/01/29,西藏
63,0,0,116,2020/01/29,陕西
26,0,0,0,2020/01/29,甘肃
6,0,0,1,2020/01/29,青海
